Category,Category Dropdown,Required,SQL Name,Go Name,JSON Name,Datasheet Name,CSV Name,Data Type,Datasheet Range,Metadata,Description,Colour
Admin,admin,TRUE,id,ID,id,Registration ID*,id,INTEGER,A2:A500,,Auto-incrementing with each new patient created,ea9999
,admin,TRUE,vid,VID,vid,Visit ID*,vid,INTEGER,B2:B1048575,,"Auto-incrementing with each new visit created, for each respective patient",ea9999
,admin,TRUE,family_group,FamilyGroup,familyGroup,Family Group*,a_family_group,TEXT,C2:C500,,"Generally a string of the form ""S001"", ""S002A"" identifying the village and family number, not enforced in the db.",ea9999
,admin,TRUE,reg_date,RegDate,regDate,Date (yyyy/mm/dd)*,a_reg_date,DATE,D2:D500,,Date of registration. Set by the doctors.,ea9999
,admin,TRUE,queue_no,QueueNo,queueNo,Queue number*,a_queue_no,TEXT,E2:E500,,"String that can be of the form ""1A"", ""2A"", etc, not enforced",ea9999
,admin,TRUE,name,Name,name,Name*,a_name,TEXT,F2:F500,,Patient Name,ea9999
,admin,TRUE,khmer_name,KhmerName,khmerName,Khmer name*,a_khmer_name,TEXT,G2:G500,,Patient Khmer Name,ea9999
,admin,FALSE,dob,Dob,dob,DOB (yyyy/mm/dd),a_dob,DATE,H2:H500,,Patient date of birth,ea9999
,admin,FALSE,age,Age,age,Age,a_age,INTEGER,I2:I500,,Patient age,ea9999
,admin,TRUE,gender,Gender,gender,Gender*,a_gender,VARCHAR_1,J2:J500,"M,F",Patient gender. Not enforced M or F.,ea9999
,admin,TRUE,village,Village,village,Village*,a_village,TEXT,K2:K500,,Patient village of origin.,ea9999
,admin,TRUE,contact_no,ContactNo,contactNo,Contact No.*,a_contact_no,TEXT,L2:L500,,Patient contact number,ea9999
,admin,TRUE,pregnant,Pregnant,pregnant,Pregnant? (Y/N)*,a_pregnant,BOOLEAN,M2:M500,,Boolean indicating if patient is pregnant.,ea9999
,admin,FALSE,last_menstrual_period,LastMenstrualPeriod,lastMenstrualPeriod,"If N or unsure, Last Menstrual Period",a_last_menstrual_period,DATE,N2:N500,,Date of last menstrual period.,ea9999
,admin,FALSE,drug_allergies,DrugAllergies,drugAllerg,"Drug Allergies (if none, put ""nil"")",a_drug_allergies,TEXT,O2:O500,,Patient drug allergies,ea9999
,admin,TRUE,sent_to_id,SentToID,sentToId,sent to Infectious Disease? (T/F)*,a_sent_to_id,BOOLEAN,P2:P500,,Boolean indicating if patient was sent to infectious diseases station.,ea9999
,admin,FALSE,photo,Photo,photo,Photo (Leave this blank),a_photo,BYTEA,DT2:DT500,,"Postgres binary string data type, used to store photo",ea9999
Past Medical History,pastmedicalhistory,TRUE,tuberculosis,Tuberculosis,tuberculosis,Tuberculosis (T/F)*,pmh_tuberculosis,BOOLEAN,Q2:Q500,,Boolean indicating if patient has tuberculosis,f9cb9c
,pastmedicalhistory,TRUE,diabetes,Diabetes,diabetes,Diabetes (T/F)*,pmh_diabetes,BOOLEAN,R2:R500,,Boolean indicating if patient has diabetes,f9cb9c
,pastmedicalhistory,TRUE,hypertension,Hypertension,hypertension,Hypertension (T/F)*,pmh_hypertension,BOOLEAN,S2:S500,,Boolean indicating if patient has hypertension,f9cb9c
,pastmedicalhistory,TRUE,hyperlipidemia,Hyperlipidemia,hyperlipidemia,Hyperlipidemia (T/F)*,pmh_hyperlipidemia,BOOLEAN,T2:T500,,Boolean indicating if patient has hyperlipidemia,f9cb9c
,pastmedicalhistory,TRUE,chronic_joint_pains,ChronicJointPains,chronicJointPains,Chronic Joint Pains (T/F)*,pmh_chronic_joint_pains,BOOLEAN,U2:U500,,Boolean indicating if patient has chronic joint pains,f9cb9c
,pastmedicalhistory,TRUE,chronic_muscle_aches,ChronicMuscleAches,chronicMuscleAches,Chronic Muscle Aches (T/F)*,pmh_chronic_muscle_aches,BOOLEAN,V2:V500,,Boolean indicating if patient has chronic muscle aches,f9cb9c
,pastmedicalhistory,TRUE,sexually_transmitted_disease,SexuallyTransmittedDisease,sexuallyTransmittedDisease,Sexually transmitted disease (T/F)*,pmh_sexually_transmitted_disease,BOOLEAN,W2:W500,,Boolean indicating if patient has a sexually transmitted disease,f9cb9c
,pastmedicalhistory,FALSE,specified_stds,SpecifiedSTDs,specifiedSTDs,"If Y to STD, specify: (If F, leave blank)",pmh_specified_stds,TEXT,X2:X500,,"Details of specified sexually transmitted diseases, if any",f9cb9c
,pastmedicalhistory,FALSE,others,Others,others,"PMH Others (If none, leave blank)",pmh_others,TEXT,Y2:Y500,,Any other relevant medical conditions or notes,f9cb9c
Social History,socialhistory,TRUE,past_smoking_history,PastSmokingHistory,pastSmokingHistory,Past smoking history (T/F)*,sh_past_smoking_history,BOOLEAN,Z2:Z500,,Boolean indicating if the patient has a history of smoking,ffe599
,socialhistory,FALSE,no_of_years,NumberOfYears,numberOfYears,"If Y, no. of years",sh_no_of_years,INTEGER,AA2:AA500,,Number of years the patient has smoked,ffe599
,socialhistory,TRUE,current_smoking_history,CurrentSmokingHistory,currentSmokingHistory,Current smoking history (T/F)*,sh_current_smoking_history,BOOLEAN,AB2:AB500,,Boolean indicating if the patient currently smokes,ffe599
,socialhistory,FALSE,cigarettes_per_day,CigarettesPerDay,cigarettesPerDay,"If Y, how many cigarettes per day",sh_cigarettes_per_day,INTEGER,AC2:AC500,,Number of cigarettes the patient smokes per day,ffe599
,socialhistory,TRUE,alcohol_history,AlcoholHistory,alcoholHistory,Alcohol history (T/F)*,sh_alcohol_history,BOOLEAN,AD2:AD500,,Boolean indicating if the patient has a history of alcohol consumption,ffe599
,socialhistory,FALSE,how_regular,HowRegular,howRegular,"If Y, how regularly? (A/B/C/D)",sh_how_regular,VARCHAR_1,AE2:AE500,,"Char 'A', 'B', 'C, 'D' indicating patient's frequency of alcohol consumption",ffe599
Vital Statistics,vitalstatistics,TRUE,temperature,Temperature,temperature,Temperature*,vs_temperature,NUMERIC_5_1,AF2:AF500,,"Patient's body temperature in degrees Celsius, 5 digits with 1 dp",b6d7a8
,vitalstatistics,TRUE,spo2,SpO2,spO2,SpO2*,vs_spo2,NUMERIC_5_1,AG2:AG500,,Oxygen saturation level in percentage,b6d7a8
,vitalstatistics,FALSE,systolic_bp1,SystolicBP1,systolicBP1,Systolic BP1,vs_systolic_bp1,NUMERIC_5_1,AH2:AH500,,Systolic blood pressure measurement 1,b6d7a8
,vitalstatistics,FALSE,diastolic_bp1,DiastolicBP1,diastolicBP1,Diastolic BP1,vs_diastolic_bp1,NUMERIC_5_1,AI2:AI500,,Diastolic blood pressure measurement 1,b6d7a8
,vitalstatistics,FALSE,systolic_bp2,SystolicBP2,systolicBP2,Systolic BP2,vs_systolic_bp2,NUMERIC_5_1,AJ2:AJ500,,Systolic blood pressure measurement 2,b6d7a8
,vitalstatistics,FALSE,diastolic_bp2,DiastolicBP2,diastolicBP2,Diastolic BP2,vs_diastolic_bp2,NUMERIC_5_1,AK2:AK500,,Diastolic blood pressure measurement 2,b6d7a8
,vitalstatistics,FALSE,avg_systolic_bp,AverageSystolicBP,averageSystolicBP,Avg Systolic BP,vs_avg_systolic_bp,NUMERIC_5_1,AL2:AL500,,Average systolic blood pressure,b6d7a8
,vitalstatistics,FALSE,avg_diastolic_bp,AverageDiastolicBP,averageDiastolicBP,Avg Diastolic BP,vs_avg_diastolic_bp,NUMERIC_5_1,AM2:AM500,,Average diastolic blood pressure,b6d7a8
,vitalstatistics,TRUE,hr1,HR1,hr1,HR1*,vs_hr1,NUMERIC_5_1,AN2:AN500,,Heart rate measurement 1,b6d7a8
,vitalstatistics,TRUE,hr2,HR2,hr2,HR2*,vs_hr2,NUMERIC_5_1,AO2:AO500,,Heart rate measurement 2,b6d7a8
,vitalstatistics,TRUE,avg_hr,AverageHR,averageHR,Avg HR*,vs_avg_hr,NUMERIC_5_1,AP2:AP500,,Average heart rate,b6d7a8
